76011002,76011002
"",76023057,,,São Gonçalo do Amarante  [Municipality: Brazil],
76023058,"Várzea Alegre, Granjeiro  [Municipality: Brazil]",,,,
"",76023059,,,"Jardim, Penaforte, Jati  [Municipality: Brazil]",
76023060,Mombaça  [Municipality: Brazil],,,,
"",76023061,,,Pedra Branca  [Municipality: Brazil],
76023062,"Aiuaba, Arneiroz, Saboeiro  [Municipality: Brazil]",,,,
"",76023063,,,"Moraújo, Uruoca, Martinópole, Senador Sá  [Municipality: Brazil]",
76023064,"Reriutaba, Varjota  [Municipality: Brazil]",,,,
"",76023065,,,Pentecoste  [Municipality: Brazil],
76023066,Massapê  [Municipality: Brazil],,,,
"",76023067,,,Jaguaribe  [Municipality: Brazil],
76023068,Baturité  [Municipality: Brazil],,,,
"",76023069,,,Bela Cruz  [Municipality: Brazil],
76023070,Parambu  [Municipality: Brazil],,,,
"",76023071,,,Tabuleiro do Norte  [Municipality: Brazil],
76023072,Santana do Acaraú  [Municipality: Brazil],,,,
"",76023073,,,Milagres  [Municipality: Brazil],
76023074,Novo Oriente  [Municipality: Brazil],,,,
"",76023075,,,Senador Pompeu  [Municipality: Brazil],
76023076,"Potengi, Santana do Cariri  [Municipality: Brazil]",,,,
